linker,family,smiles,yield,purity,reproducibility
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.55,0.28,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.34,0.43,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.49,0.52,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.54,0.58,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.53,0.45,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.54,0.62,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.45,0.47,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.42,0.56,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.41,0.27,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.38,0.6,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.75,0.15,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.33,0.41,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.28,0.5,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.71,0.35,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.64,0.45,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.65,0.64,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.66,0.47,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.73,0.41,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.28,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.21,0.55,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.46,0.31,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.46,0.48,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.41,0.5,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.52,0.5,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.5,0.4,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.57,0.59,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.4,0.47,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.49,0.63,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.41,0.33,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.29,0.6,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.73,0.59,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.23,0.43,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.13,0.41,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.62,0.53,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.49,0.5,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.67,0.66,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.63,0.48,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.64,0.57,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.32,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.21,0.51,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.21,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.39,0.42,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.46,0.48,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.54,0.46,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.64,0.39,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.54,0.51,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.37,0.36,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.51,0.58,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.3,0.23,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.46,0.51,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.76,0.14,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.28,0.4,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.21,0.45,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.75,0.27,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.78,0.24,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.84,0.8,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.69,0.4,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.65,0.59,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.68,0.31,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.17,0.45,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.65,0.37,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.38,0.37,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.38,0.55,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.48,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.63,0.47,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.64,0.48,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.32,0.45,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.45,0.6,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.33,0.32,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.52,0.54,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.81,0.22,0.5
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.22,0.36,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.22,0.51,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.72,0.29,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.59,0.53,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.58,0.53,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0,0.42,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.83,0.3,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.62,0.36,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.2,0.45,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.76,0.16,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.28,0.36,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.27,0.51,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.7,0.27,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.8,0.74,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.74,0.73,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.36,0.44,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.52,0.51,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.41,0.35,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.48,0.48,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.88,0.19,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.2,0.39,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.19,0.51,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.81,0.78,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.91,0.28,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.45,0.75
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.84,0.26,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.91,0.8,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.73,0.22,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.29,0.44,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.61,0.33,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.38,0.47,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0,0.55,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.7,0.56,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.48,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.7,0.28,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.53,0.51,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.53,0.54,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.33,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.34,0.46,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.83,0.23,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.25,0.43,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.16,0.48,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.82,0.33,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.86,0.29,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.93,0.77,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.59,0.53,0.25
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.59,0.49,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.72,0.23,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.16,0.39,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.54,0.34,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.44,0.43,0.5
2-methylimidazole,Azole,Cc1ncc[nH]1,0.38,0.54,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.71,0.79,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.68,0.56,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.34,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.51,0.54,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.52,0.44,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.49,0.39,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.34,0.45,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.78,0.24,0.5
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.24,0.44,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.13,0.53,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.83,0.81,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.74,0.38,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.78,0.21,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.81,0.33,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.91,0.21,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.67,0.38,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.24,0.37,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.47,0.35,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.23,0.46,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.45,0.58,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.42,0.56,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.5,0.54,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.45,0.39,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.43,0.54,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.48,0.45,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.31,0.34,0.25
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.4,0.46,0.25
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.48,0.4,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.29,0.41,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.12,0.54,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.5,0.57,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.8,0.37,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.78,0.2,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0,0.42,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.75,0.69,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.76,0.7,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.17,0.41,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.44,0.34,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0,0.4,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.41,0.61,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.38,0.49,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.45,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.36,0.37,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.37,0.5,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.29,0.35,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.29,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.34,0.46,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.61,0.4,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.22,0.38,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.15,0.52,0.25
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.75,0.36,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.47,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.65,0.37,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.67,0.48,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.69,0.4,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.67,0.36,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.08,0.34,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.31,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.37,0.48,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.33,0.55,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.49,0.51,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.49,0.47,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.27,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.49,0.51,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.49,0.34,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.22,0.27,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.46,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.74,0.6,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.23,0.41,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.12,0.49,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.59,0.55,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.63,0.49,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.28,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.45,0.45,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.67,0.36,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.65,0.39,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.1,0.42,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.24,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0,0.39,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0,0.47,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.52,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.58,0.45,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.42,0.61,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.46,0.47,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.36,0.27,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.39,0.6,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.75,0.55,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.16,0.4,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.21,0.49,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.4,0.54,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.47,0.44,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.58,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.43,0.45,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.71,0.41,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.67,0.34,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.25,0.56,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.43,0.31,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.44,0.47,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.44,0.5,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.45,0.5,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.48,0.4,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.46,0.58,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.37,0.47,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.47,0.63,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.32,0.33,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.44,0.62,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.66,0.35,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.24,0.43,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.23,0.42,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.57,0.53,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.69,0.52,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.63,0.65,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.63,0.48,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.72,0.78,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.32,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.24,0.51,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.56,0.25,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0,0.38,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.54,0.49,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.47,0.45,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.6,0.39,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.55,0.51,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.38,0.36,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.27,0.56,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.25,0.23,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.44,0.51,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.68,0.29,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.27,0.4,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.24,0.45,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.59,0.47,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.86,0.72,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.77,0.32,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.68,0.4,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.62,0.59,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.25,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.34,0.47,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.58,0.36,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.44,0.38,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.46,0.55,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.66,0.54,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.61,0.47,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.65,0.48,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.44,0.46,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.44,0.6,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.27,0.32,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.52,0.54,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.91,0.73,0.5
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.31,0.37,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.24,0.51,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.68,0.49,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.47,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.48,0.25
